 Incident particle is a   Muon with M =   105.65839 MeV
 Index =  297:  carbon (gem diamond)
     Absorber with Z =   6,  A = 12.0107(8), density = 3.520 (revised)
 Sternheimer coef:  a     k=m_s   x_0    x_1    I[eV]   Cbar  delta0
                 0.2614  2.8697 -0.1135  2.2458   78.0  2.4271 0.12
 (Restricted energy loss for Tcut = 0.05 MeV
 Table written with (1X, 1P9E10.3,0PF8.4,f8.5,1pE10.3)          post-Born included in pair prod
 *** Results below 10 MeV are not dependable ***
      T         p     Ionization  brems     pair     photonuc  Radloss    dE/dx   CSDA Range  delta   beta   dE/dx_R
    [MeV]    [MeV/c]  -----------------------[MeV cm^2/g]------------------------  [g/cm^2]                [MeV cm^2/g]
  9.000E+05 9.001E+05 2.650E+00 7.745E-01 1.117E+00 3.809E-01 2.272E+00 4.922E+00 2.600E+05 15.6730 1.00000 1.332E+00
  1.000E+06 1.000E+06 2.661E+00 8.690E-01 1.254E+00 4.242E-01 2.547E+00 5.209E+00 2.798E+05 15.8837 1.00000 1.332E+00
  1.044E+06 1.044E+06 2.666E+00 9.099E-01 1.313E+00 4.435E-01 2.666E+00 5.332E+00  Muon critical energy
  1.200E+06 1.200E+06 2.680E+00 1.057E+00 1.524E+00 5.127E-01 3.094E+00 5.774E+00 3.162E+05 16.2483 1.00000 1.332E+00
  1.400E+06 1.400E+06 2.697E+00 1.248E+00 1.797E+00 6.017E-01 3.647E+00 6.343E+00 3.492E+05 16.5566 1.00000 1.332E+00
  1.700E+06 1.700E+06 2.717E+00 1.537E+00 2.211E+00 7.362E-01 4.484E+00 7.202E+00 3.936E+05 16.9449 1.00000 1.332E+00
  2.000E+06 2.000E+06 2.735E+00 1.830E+00 2.630E+00 8.714E-01 5.331E+00 8.066E+00 4.330E+05 17.2699 1.00000 1.332E+00
  2.500E+06 2.500E+06 2.759E+00 2.316E+00 3.320E+00 1.102E+00 6.738E+00 9.496E+00 4.900E+05 17.7162 1.00000 1.332E+00
  3.000E+06 3.000E+06 2.778E+00 2.806E+00 4.016E+00 1.335E+00 8.158E+00 1.094E+01 5.390E+05 18.0808 1.00000 1.332E+00
  3.500E+06 3.500E+06 2.795E+00 3.301E+00 4.717E+00 1.571E+00 9.589E+00 1.238E+01 5.820E+05 18.3891 1.00000 1.332E+00
  4.000E+06 4.000E+06 2.810E+00 3.799E+00 5.422E+00 1.807E+00 1.103E+01 1.384E+01 6.202E+05 18.6561 1.00000 1.332E+00
  4.500E+06 4.500E+06 2.823E+00 4.301E+00 6.131E+00 2.046E+00 1.248E+01 1.530E+01 6.545E+05 18.8917 1.00000 1.332E+00
  5.000E+06 5.000E+06 2.835E+00 4.805E+00 6.844E+00 2.285E+00 1.393E+01 1.677E+01 6.857E+05 19.1024 1.00000 1.332E+00
  5.500E+06 5.500E+06 2.845E+00 5.304E+00 7.547E+00 2.530E+00 1.538E+01 1.823E+01 7.143E+05 19.2930 1.00000 1.332E+00
  6.000E+06 6.000E+06 2.855E+00 5.805E+00 8.253E+00 2.776E+00 1.683E+01 1.969E+01 7.407E+05 19.4670 1.00000 1.332E+00
  7.000E+06 7.000E+06 2.872E+00 6.810E+00 9.668E+00 3.272E+00 1.975E+01 2.262E+01 7.880E+05 19.7753 1.00000 1.332E+00
  8.000E+06 8.000E+06 2.887E+00 7.821E+00 1.109E+01 3.773E+00 2.268E+01 2.557E+01 8.296E+05 20.0424 1.00000 1.332E+00
  9.000E+06 9.000E+06 2.901E+00 8.836E+00 1.251E+01 4.277E+00 2.563E+01 2.853E+01 8.666E+05 20.2780 1.00000 1.332E+00
  1.000E+07 1.000E+07 2.913E+00 9.855E+00 1.394E+01 4.785E+00 2.858E+01 3.150E+01 9.000E+05 20.4887 1.00000 1.332E+00
  1.200E+07 1.200E+07 2.934E+00 1.188E+01 1.678E+01 5.822E+00 3.448E+01 3.742E+01 9.582E+05 20.8533 1.00000 1.332E+00
  1.400E+07 1.400E+07 2.952E+00 1.391E+01 1.963E+01 6.871E+00 4.041E+01 4.336E+01 1.008E+06 21.1616 1.00000 1.332E+00
  1.700E+07 1.700E+07 2.974E+00 1.698E+01 2.391E+01 8.464E+00 4.935E+01 5.233E+01 1.071E+06 21.5499 1.00000 1.332E+00
  2.000E+07 2.000E+07 2.994E+00 2.005E+01 2.821E+01 1.008E+01 5.833E+01 6.133E+01 1.124E+06 21.8750 1.00000 1.332E+00
  2.500E+07 2.500E+07 3.020E+00 2.515E+01 3.533E+01 1.284E+01 7.333E+01 7.635E+01 1.196E+06 22.3212 1.00000 1.332E+00
  3.000E+07 3.000E+07 3.042E+00 3.027E+01 4.248E+01 1.564E+01 8.839E+01 9.143E+01 1.256E+06 22.6859 1.00000 1.332E+00
  3.500E+07 3.500E+07 3.061E+00 3.541E+01 4.963E+01 1.848E+01 1.035E+02 1.066E+02 1.307E+06 22.9942 1.00000 1.332E+00
  4.000E+07 4.000E+07 3.077E+00 4.055E+01 5.680E+01 2.135E+01 1.187E+02 1.218E+02 1.351E+06 23.2612 1.00000 1.332E+00
  4.500E+07 4.500E+07 3.091E+00 4.570E+01 6.397E+01 2.425E+01 1.339E+02 1.370E+02 1.389E+06 23.4968 1.00000 1.332E+00
  5.000E+07 5.000E+07 3.104E+00 5.087E+01 7.115E+01 2.717E+01 1.492E+02 1.523E+02 1.424E+06 23.7075 1.00000 1.332E+00
  5.500E+07 5.500E+07 3.116E+00 5.600E+01 7.830E+01 3.014E+01 1.644E+02 1.676E+02 1.455E+06 23.8982 1.00000 1.332E+00
  6.000E+07 6.000E+07 3.127E+00 6.114E+01 8.546E+01 3.314E+01 1.797E+02 1.829E+02 1.484E+06 24.0722 1.00000 1.332E+00
  7.000E+07 7.000E+07 3.146E+00 7.142E+01 9.979E+01 3.919E+01 2.104E+02 2.135E+02 1.534E+06 24.3805 1.00000 1.332E+00
  8.000E+07 8.000E+07 3.163E+00 8.172E+01 1.141E+02 4.532E+01 2.412E+02 2.443E+02 1.578E+06 24.6475 1.00000 1.332E+00
  9.000E+07 9.000E+07 3.178E+00 9.203E+01 1.285E+02 5.150E+01 2.720E+02 2.752E+02 1.617E+06 24.8831 1.00000 1.332E+00
  1.000E+08 1.000E+08 3.191E+00 1.024E+02 1.428E+02 5.774E+01 3.029E+02 3.061E+02 1.651E+06 25.0938 1.00000 1.332E+00
  1.200E+08 1.200E+08 3.215E+00 1.228E+02 1.714E+02 6.929E+01 3.635E+02 3.667E+02 1.711E+06 25.4585 1.00000 1.332E+00
  1.400E+08 1.400E+08 3.235E+00 1.433E+02 1.999E+02 8.084E+01 4.241E+02 4.273E+02 1.761E+06 25.7668 1.00000 1.332E+00
  1.700E+08 1.700E+08 3.260E+00 1.740E+02 2.428E+02 9.816E+01 5.149E+02 5.182E+02 1.825E+06 26.1551 1.00000 1.332E+00
